Comissão,Data,Hora,Reunião,Texto,Tipo
CPI - Crimes Cibernéticos,20/10/2015,15h50,2133/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=CPI - Crimes Cibernéticos&tpReuniaoEvento=AP c/ Convidado&dtReuniao=20/10/2015&hrInicio=15:50:00&hrFim=18:56:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=2133/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:50&sgFaseSessao=&Data=20/10/2015&txApelido=&txFaseSessao=&txTipoSessao=CPI&dtHoraQuarto=15:50&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,30/09/2015,10h25,1898/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Ministro&dtReuniao=30/09/2015&hrInicio=10:25:00&hrFim=13:03:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1898/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:25&sgFaseSessao=&Data=30/09/2015&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:25&txEtapa=,AP c/ Ministro
Comissão de Legislação Participativa,03/09/2015,9h26,1611/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Legislação Participativa&tpReuniaoEvento=AP c/ Convidado&dtReuniao=03/09/2015&hrInicio=09:26:00&hrFim=13:01:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1611/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=09:26&sgFaseSessao=&Data=03/09/2015&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=09:26&txEtapa=,AP c/ Convidado
"Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 6583, de 2013, do Sr. Anderson Ferreira, que ""dispõe sobre o Estatuto da Família e dá outras providências"", e apensado",25/06/2015,14h17,39619,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 6583, de 2013, do Sr. Anderson Ferreira, que ",Reunião Ordinária
Comissão de Direitos Humanos e Minorias,24/06/2015,14h21,0971/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=24/06/2015&hrInicio=14:21:00&hrFim=18:16:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0971/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:21&sgFaseSessao=&Data=24/06/2015&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:21&txEtapa=,AP c/ Convidado
CPI - Violência contra Jovens Negros e Pobres,23/06/2015,14h58,0949/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=CPI - Violência contra Jovens Negros e Pobres&tpReuniaoEvento=AP c/ Convidado&dtReuniao=23/06/2015&hrInicio=14:58:00&hrFim=18:12:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0949/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:58&sgFaseSessao=&Data=23/06/2015&txApelido=&txFaseSessao=&txTipoSessao=Parlamentar de Inquérito&dtHoraQuarto=14:58&txEtapa=,AP c/ Convidado
CPI - Violência contra Jovens Negros e Pobres,09/06/2015,15h13,0788/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=CPI - Violência contra Jovens Negros e Pobres&tpReuniaoEvento=AP c/ Convidado&dtReuniao=09/06/2015&hrInicio=15:13:00&hrFim=18:09:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0788/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:13&sgFaseSessao=&Data=09/06/2015&txApelido=&txFaseSessao=&txTipoSessao=Parlamentar de Inquérito&dtHoraQuarto=15:13&txEtapa=,AP c/ Convidado
CPI - Violência contra Jovens Negros e Pobres,02/06/2015,14h58,0769/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=CPI - Violência contra Jovens Negros e Pobres&tpReuniaoEvento=&dtReuniao=02/06/2015&hrInicio=14:58:00&hrFim=18:43:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0769/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:58&sgFaseSessao=&Data=02/06/2015&txApelido=&txFaseSessao=&txTipoSessao=Parlamentar de Inquérito&dtHoraQuarto=14:58&txEtapa=,
Comissão Especial - PEC 171/93 - Maioridade Penal,02/06/2015,9h36,0765/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial - PEC 171/93 - Maioridade Penal&tpReuniaoEvento=AP c/ Convidado&dtReuniao=02/06/2015&hrInicio=09:36:00&hrFim=13:54:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0765/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=09:36&sgFaseSessao=&Data=02/06/2015&txApelido=&txFaseSessao=&txTipoSessao=Especial - PEC&dtHoraQuarto=09:36&txEtapa=,AP c/ Convidado
"Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 6583, de 2013, do Sr. Anderson Ferreira, que ""dispõe sobre o Estatuto da Família e dá outras providências"", e apensado",28/05/2015,10h34,39196,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 6583, de 2013, do Sr. Anderson Ferreira, que ",Reunião Ordinária
