Comissão,Data,Hora,Reunião,Texto,Tipo
Comissão de Constituição e Justiça e de Cidadania,09/11/2010,15h26,1078/10,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Constituição e Justiça e de Cidadania&tpReuniaoEvento=Reunião Ordinária&dtReuniao=09/11/2010&hrInicio=15:26:00&hrFim=17:09:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1078/10&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:26&sgFaseSessao=&Data=09/11/2010&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=15:26&txEtapa=,Reunião Ordinária
Comissão de Relações Exteriores e de Defesa Nacional,26/05/2010,10h31,0700A/10,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=Reunião Ordinária&dtReuniao=26/05/2010&hrInicio=10:31:00&hrFim=14:47:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0700A/10&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:31&sgFaseSessao=&Data=26/05/2010&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:31&txEtapa=,Reunião Ordinária
Comissão de Constituição e Justiça e de Cidadania,12/05/2010,9h56,0571/10,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Constituição e Justiça e de Cidadania&tpReuniaoEvento=AP c/ Convidado&dtReuniao=12/05/2010&hrInicio=09:56:00&hrFim=14:02:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0571/10&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=09:56&sgFaseSessao=&Data=12/05/2010&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=09:56&txEtapa=,AP c/ Convidado
Comissão de Constituição e Justiça e de Cidadania,06/05/2010,10h55,0519/10,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Constituição e Justiça e de Cidadania&tpReuniaoEvento=Reunião Ordinária&dtReuniao=06/05/2010&hrInicio=10:55:00&hrFim=11:42:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0519/10&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:55&sgFaseSessao=&Data=06/05/2010&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:55&txEtapa=,Reunião Ordinária
Conjunta - Direitos Humanos e Minorias / Relações Exteriores,20/04/2010,14h13,0386/10,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Conjunta - Direitos Humanos e Minorias / Relações Exteriores&tpReuniaoEvento=AP c/ Ministro&dtReuniao=20/04/2010&hrInicio=14:13:00&hrFim=18:58:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0386/10&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:13&sgFaseSessao=&Data=20/04/2010&txApelido=&txFaseSessao=&txTipoSessao=&dtHoraQuarto=14:13&txEtapa=,AP c/ Ministro
Comissão de Constituição e Justiça e de Cidadania,14/04/2010,10h20,0361/10,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Constituição e Justiça e de Cidadania&tpReuniaoEvento=Reunião Ordinária&dtReuniao=14/04/2010&hrInicio=10:20:00&hrFim=12:47:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0361/10&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:20&sgFaseSessao=&Data=14/04/2010&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:20&txEtapa=,Reunião Ordinária
Comissão de Relações Exteriores e de Defesa Nacional,07/04/2010,10h51,0298/10,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Ministro&dtReuniao=07/04/2010&hrInicio=10:51:00&hrFim=14:55:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0298/10&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:51&sgFaseSessao=&Data=07/04/2010&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:51&txEtapa=,AP c/ Ministro
Comissão de Relações Exteriores e de Defesa Nacional,09/12/2009,11h15,2307/09,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Ministro&dtReuniao=09/12/2009&hrInicio=11:15:00&hrFim=15:25:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=2307/09&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=11:15&sgFaseSessao=&Data=09/12/2009&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=11:15&txEtapa=,AP c/ Ministro
Outros Eventos,22/10/2009,10h22,ESP021/09,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Outros Eventos&tpReuniaoEvento=&dtReuniao=22/10/2009&hrInicio=10:22:00&hrFim=13:08:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=ESP021/09&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:22&sgFaseSessao=&Data=22/10/2009&txApelido=&txFaseSessao=&txTipoSessao=&dtHoraQuarto=10:22&txEtapa=,
Comissão de Relações Exteriores e de Defesa Nacional,07/10/2009,10h30,1712/09,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=Reunião Ordinária&dtReuniao=07/10/2009&hrInicio=10:30:00&hrFim=12:51:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1712/09&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:30&sgFaseSessao=&Data=07/10/2009&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:30&txEtapa=,Reunião Ordinária
Outros Eventos,27/08/2009,11h01,ESP016/09,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Outros Eventos&tpReuniaoEvento=&dtReuniao=27/08/2009&hrInicio=11:01:00&hrFim=13:25:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=ESP016/09&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=11:01&sgFaseSessao=&Data=27/08/2009&txApelido=&txFaseSessao=&txTipoSessao=&dtHoraQuarto=11:01&txEtapa=,
Comissão de Direitos Humanos e Minorias,09/07/2009,10h08,1033/09,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Ministro&dtReuniao=09/07/2009&hrInicio=10:08:00&hrFim=13:34:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1033/09&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:08&sgFaseSessao=&Data=09/07/2009&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:08&txEtapa=,AP c/ Ministro
Comissão de Segurança Pública e Combate ao Crime Organizado,07/07/2009,14h39,0988/09,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Segurança Pública e Combate ao Crime Organizado&tpReuniaoEvento=AP c/ Convidado&dtReuniao=07/07/2009&hrInicio=14:39:00&hrFim=17:53:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0988/09&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:39&sgFaseSessao=&Data=07/07/2009&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:39&txEtapa=,AP c/ Convidado
Outros Eventos,09/12/2008,10h34,ESP013/08,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Outros Eventos&tpReuniaoEvento=&dtReuniao=09/12/2008&hrInicio=10:34:00&hrFim=12:07:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=ESP013/08&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:34&sgFaseSessao=&Data=09/12/2008&txApelido=&txFaseSessao=&txTipoSessao=&dtHoraQuarto=10:34&txEtapa=,
Comissão de Segurança Pública e Combate ao Crime Organizado,26/11/2008,14h56,1641/08,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Segurança Pública e Combate ao Crime Organizado&tpReuniaoEvento=Reunião Ordinária&dtReuniao=26/11/2008&hrInicio=14:56:00&hrFim=17:00:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1641/08&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:56&sgFaseSessao=&Data=26/11/2008&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:56&txEtapa=,Reunião Ordinária
Comissão de Relações Exteriores e de Defesa Nacional,04/06/2008,11h06,0824/08,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=04/06/2008&hrInicio=11:06:00&hrFim=14:45:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0824/08&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=11:06&sgFaseSessao=&Data=04/06/2008&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=11:06&txEtapa=,AP c/ Convidado
Conjunta - Relações Exteriores / Amazônia Integração Nacional,14/05/2008,10h29,0650A/08,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Conjunta - Relações Exteriores / Amazônia Integração Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=14/05/2008&hrInicio=10:29:00&hrFim=15:28:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0650A/08&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:29&sgFaseSessao=&Data=14/05/2008&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:29&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,14/05/2008,10h29,0650/08,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=Reunião Ordinária&dtReuniao=14/05/2008&hrInicio=10:29:00&hrFim=15:28:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0650/08&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:29&sgFaseSessao=&Data=14/05/2008&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:29&txEtapa=,Reunião Ordinária
Comissão de Relações Exteriores e de Defesa Nacional,09/04/2008,10h22,0346A/08,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=09/04/2008&hrInicio=10:22:00&hrFim=14:24:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0346A/08&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:22&sgFaseSessao=&Data=09/04/2008&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:22&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,31/10/2007,10h20,1927/07,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=31/10/2007&hrInicio=10:20:00&hrFim=14:06:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1927/07&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:20&sgFaseSessao=&Data=31/10/2007&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:20&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,03/10/2007,10h30,1681/07,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=03/10/2007&hrInicio=10:30:00&hrFim=13:30:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1681/07&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:30&sgFaseSessao=&Data=03/10/2007&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:30&txEtapa=,AP c/ Convidado
Conjunta - Relações Exteriores/ Trabalho,19/09/2007,10h40,1554/07,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Conjunta - Relações Exteriores/ Trabalho&tpReuniaoEvento=AP c/ Convidado&dtReuniao=19/09/2007&hrInicio=10:40:00&hrFim=13:18:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1554/07&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:40&sgFaseSessao=&Data=19/09/2007&txApelido=&txFaseSessao=&txTipoSessao=&dtHoraQuarto=10:40&txEtapa=,AP c/ Convidado
Comissão Especial - PEC 549/06 - Carreiras Policiais,12/09/2007,14h33,1502/07,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial - PEC 549/06 - Carreiras Policiais&tpReuniaoEvento=Reunião Ordinária&dtReuniao=12/09/2007&hrInicio=14:33:00&hrFim=15:29:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1502/07&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:33&sgFaseSessao=&Data=12/09/2007&txApelido=&txFaseSessao=&txTipoSessao=Especial - PEC&dtHoraQuarto=14:33&txEtapa=,Reunião Ordinária
Comissão de Segurança Pública e Combate ao Crime Organizado,29/05/2007,14h32,0712/07,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Segurança Pública e Combate ao Crime Organizado&tpReuniaoEvento=AP c/ Convidado&dtReuniao=29/05/2007&hrInicio=14:32:00&hrFim=17:55:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0712/07&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:32&sgFaseSessao=&Data=29/05/2007&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:32&txEtapa=,AP c/ Convidado
Comissão de Fiscalização Financeira e Controle,11/04/2007,15h09,0359/07,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Fiscalização Financeira e Controle&tpReuniaoEvento=AP c/ Ministro&dtReuniao=11/04/2007&hrInicio=15:09:00&hrFim=17:55:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0359/07&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:09&sgFaseSessao=&Data=11/04/2007&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=15:09&txEtapa=,AP c/ Ministro
Comissão de Defesa do Consumidor,13/12/2006,10h33,1366/06,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Defesa do Consumidor&tpReuniaoEvento=AP c/ Ministro&dtReuniao=13/12/2006&hrInicio=10:33:00&hrFim=16:33:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1366/06&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:33&sgFaseSessao=&Data=13/12/2006&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:33&txEtapa=,AP c/ Ministro
Comissão de Segurança Pública e Combate ao Crime Organizado,16/05/2006,16h27,0641/06,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Segurança Pública e Combate ao Crime Organizado&tpReuniaoEvento=Conjunta - AP / Convidado&dtReuniao=16/05/2006&hrInicio=16:27:00&hrFim=18:53:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0641/06&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=16:27&sgFaseSessao=&Data=16/05/2006&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=16:27&txEtapa=,Conjunta - AP / Convidado
Comissão Especial - PEC 603-A/98 - Terrenos de Marinha,28/03/2006,16h56,0279/06,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial - PEC 603-A/98 - Terrenos de Marinha&tpReuniaoEvento=Reunião Ordinária&dtReuniao=28/03/2006&hrInicio=16:56:00&hrFim=17:24:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0279/06&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=16:56&sgFaseSessao=&Data=28/03/2006&txApelido=&txFaseSessao=&txTipoSessao=&dtHoraQuarto=16:56&txEtapa=,Reunião Ordinária
Comissão de Relações Exteriores e de Defesa Nacional,14/03/2006,15h46,0211/06,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=14/03/2006&hrInicio=15:46:00&hrFim=17:40:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0211/06&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:46&sgFaseSessao=&Data=14/03/2006&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=15:46&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,14/12/2005,15h55,2098/05,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Ministro&dtReuniao=14/12/2005&hrInicio=15:55:00&hrFim=19:41:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=2098/05&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:55&sgFaseSessao=&Data=14/12/2005&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=15:55&txEtapa=,AP c/ Ministro
Comissão de Relações Exteriores e de Defesa Nacional,26/10/2005,9h30,1678/05,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=Seminário&dtReuniao=26/10/2005&hrInicio=09:30:00&hrFim=12:31:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1678/05&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=09:30&sgFaseSessao=&Data=26/10/2005&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=09:30&txEtapa=,Seminário
Comissão de Segurança Pública e Combate ao Crime Organizado,19/10/2005,14h55,1621/05,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Segurança Pública e Combate ao Crime Organizado&tpReuniaoEvento=AP c/ Convidado&dtReuniao=19/10/2005&hrInicio=14:55:00&hrFim=17:31:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1621/05&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:55&sgFaseSessao=&Data=19/10/2005&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:55&txEtapa=,AP c/ Convidado
Comissão de Segurança Pública e Combate ao Crime Organizado,04/10/2005,14h33,1513/05,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Segurança Pública e Combate ao Crime Organizado&tpReuniaoEvento=Seminário&dtReuniao=04/10/2005&hrInicio=14:33:00&hrFim=17:55:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1513/05&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:33&sgFaseSessao=&Data=04/10/2005&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:33&txEtapa=,Seminário
Comissão de Segurança Pública e Combate ao Crime Organizado,21/09/2005,15h22,1440/05,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Segurança Pública e Combate ao Crime Organizado&tpReuniaoEvento=Reunião Ordinária&dtReuniao=21/09/2005&hrInicio=15:22:00&hrFim=15:59:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1440/05&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:22&sgFaseSessao=&Data=21/09/2005&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=15:22&txEtapa=,Reunião Ordinária
Conselho de Ética e Decoro Parlamentar,14/06/2005,14h39,0830/05,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Conselho de Ética e Decoro Parlamentar&tpReuniaoEvento=Reunião Ordinária&dtReuniao=14/06/2005&hrInicio=14:39:00&hrFim=21:16:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0830/05&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:39&sgFaseSessao=&Data=14/06/2005&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:39&txEtapa=,Reunião Ordinária
Comissão de Relações Exteriores e de Defesa Nacional,08/06/2005,10h10,0777B/05,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=08/06/2005&hrInicio=10:10:00&hrFim=11:32:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0777B/05&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:10&sgFaseSessao=&Data=08/06/2005&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:10&txEtapa=,AP c/ Convidado
CPI - Tráfico de Armas,07/06/2005,14h48,0760/05,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=CPI - Tráfico de Armas&tpReuniaoEvento=AP c/ Convidado&dtReuniao=07/06/2005&hrInicio=14:48:00&hrFim=18:16:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0760/05&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:48&sgFaseSessao=&Data=07/06/2005&txApelido=&txFaseSessao=&txTipoSessao=Parlamentar de Inquérito&dtHoraQuarto=14:48&txEtapa=,AP c/ Convidado
CPI - Tráfico de Armas,05/05/2005,10h41,0534/05,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=CPI - Tráfico de Armas&tpReuniaoEvento=AP c/ Convidado&dtReuniao=05/05/2005&hrInicio=10:41:00&hrFim=15:26:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0534/05&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:41&sgFaseSessao=&Data=05/05/2005&txApelido=&txFaseSessao=&txTipoSessao=Parlamentar de Inquérito&dtHoraQuarto=10:41&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,03/05/2005,14h19,0487/05,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=Debates&dtReuniao=03/05/2005&hrInicio=14:19:00&hrFim=15:58:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0487/05&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:19&sgFaseSessao=&Data=03/05/2005&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:19&txEtapa=,Debates
Comissão de Direitos Humanos e Minorias,27/10/2004,14h36,1207/04,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=AP c/ Convidado&dtReuniao=27/10/2004&hrInicio=14:36:00&hrFim=17:32:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1207/04&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:36&sgFaseSessao=&Data=27/10/2004&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:36&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,11/05/2004,15h15,0529/04,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=11/05/2004&hrInicio=15:15:00&hrFim=20:13:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0529/04&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:15&sgFaseSessao=&Data=11/05/2004&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=15:15&txEtapa=,AP c/ Convidado
Outros Eventos,27/04/2004,16h12,0400/04,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Outros Eventos&tpReuniaoEvento=&dtReuniao=27/04/2004&hrInicio=16:12:00&hrFim=18:22:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0400/04&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=16:12&sgFaseSessao=&Data=27/04/2004&txApelido=&txFaseSessao=&txTipoSessao=&dtHoraQuarto=16:12&txEtapa=,
Comissão Externa - Reserva Indígena Raposa Serra do Sol,27/04/2004,15h01,0387/04,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Externa - Reserva Indígena Raposa Serra do Sol&tpReuniaoEvento=Reunião Ordinária&dtReuniao=27/04/2004&hrInicio=15:01:00&hrFim=16:11:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0387/04&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:01&sgFaseSessao=&Data=27/04/2004&txApelido=&txFaseSessao=&txTipoSessao=Externa&dtHoraQuarto=15:01&txEtapa=,Reunião Ordinária
Comissão Externa - Reserva Indígena Raposa Serra do Sol,14/04/2004,14h53,0352/04,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Externa - Reserva Indígena Raposa Serra do Sol&tpReuniaoEvento=Reunião Ordinária&dtReuniao=14/04/2004&hrInicio=14:53:00&hrFim=16:22:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0352/04&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:53&sgFaseSessao=&Data=14/04/2004&txApelido=&txFaseSessao=&txTipoSessao=Externa&dtHoraQuarto=14:53&txEtapa=,Reunião Ordinária
