Data,Discurso,Fase,Hora,Orador,Publicação,Sessão,Sumário
02/06/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=117.3.52.O&nuQuarto=8&nuOrador=1&nuInsercao=0&dtHorarioQuarto=14:14&sgFaseSessao=PE&Data=02/06/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Pequeno Expediente&txTipoSessao=Ordinária - CD&dtHoraQuarto=14:14&txEtapa=",PEQUENO EXPEDIENTE,14h14,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=23146&Datain=03/06/2005&txSuplemento=,117.3.52.O,Descaso do Presidente Luiz Inácio Lula da Silva com as Forças Armadas brasileiras. Apresentação de dados sobre a demissão de oficiais e praças.
01/06/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=114.3.52.O&nuQuarto=76&nuOrador=2&nuInsercao=17&dtHorarioQuarto=15:20&sgFaseSessao=OD&Data=01/06/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Ordem do Dia&txTipoSessao=Extraordinária - CD&dtHoraQuarto=15:20&txEtapa=",ORDEM DO DIA,15h20,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=22846&Datain=02/06/2005&txSuplemento=,114.3.52.O,"Encaminhamento da votação da  Medida Provisória  241 de 2005 (Abre crédito extraordinário em favor do Ministério da Defesa e de Encargos Financeiros da União, para  os fins que especifica). Posicionamento contrário à matéria. Protesto contra o tratamento dado pelo Governo à questão salarial dos Militares."
01/06/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=114.3.52.O&nuQuarto=38&nuOrador=1&nuInsercao=0&dtHorarioQuarto=14:04&sgFaseSessao=BC&Data=01/06/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Breves Comunicações&txTipoSessao=Extraordinária - CD&dtHoraQuarto=14:04&txEtapa=",BREVES COMUNICAÇÕES,14h04,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=22784&Datain=02/06/2005&txSuplemento=,114.3.52.O,"Votos de feliz aniversário ao Deputado João Fontes. Conveniência da adoção de política de controle da natalidade no País. Incoerência da manifestação do Deputado Zé Geraldo contra a prática de corrupção no âmbito das Prefeituras Municipais e a retirada de sua assinatura a requerimento para instauração de Comissão Parlamentar de Inquérito destinada à apuração das denúncias de corrupção na Empresa Brasileira de Correios e Telégrafos. Razões do falecimento de cadete da Academia Militar das Agulhas Negras. Elevação do índice de corte de recursos destinados às Forças Armadas brasileiras. Conveniência de renúncia do Ministro da Defesa, José Alencar.

"
19/05/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=101.3.52.O&nuQuarto=9&nuOrador=2&nuInsercao=0&dtHorarioQuarto=13:52&sgFaseSessao=BC&Data=19/05/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Breves Comunicações&txTipoSessao=Extraordinária - CD&dtHoraQuarto=13:52&txEtapa=",BREVES COMUNICAÇÕES,13h52,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=19821&Datain=20/05/2005&txSuplemento=,101.3.52.O,"Artigo O MST e o Descontrole Policial, acerca da atuação da Polícia Militar do Distrito Federal durante manifestação do Movimento dos Trabalhadores Rurais Sem Terra - MST. Descumprimento pelo Presidente Luiz Inácio Lula da Silva de acordo sobre o reajuste nos soldos dos militares."
17/05/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=097.3.52.O&nuQuarto=88&nuOrador=1&nuInsercao=67&dtHorarioQuarto=16:28&sgFaseSessao=OD&Data=17/05/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Ordem do Dia&txTipoSessao=Extraordinária - CD&dtHoraQuarto=16:28&txEtapa=",ORDEM DO DIA,16h28,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=18926&Datain=18/05/2005&txSuplemento=,097.3.52.O,"Apoio à criação de CPI para investigação de denúncias de corrupção contra o Deputado Roberto Jefferson, publicadas pela revista Veja. Contestação a nota de autoria do Deputado Zé Geraldo sobre o funcionamento da Câmara dos Deputados.
"
12/05/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=091.3.52.O&nuQuarto=7&nuOrador=2&nuInsercao=0&dtHorarioQuarto=14:21&sgFaseSessao=PE&Data=12/05/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Pequeno Expediente&txTipoSessao=Ordinária - CD&dtHoraQuarto=14:21&txEtapa=",PEQUENO EXPEDIENTE,14h21,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=18127&Datain=13/05/2005&txSuplemento=,091.3.52.O,Agradecimento ao Deputado Alberto Fraga pelo apoio a movimento de familiares de militares por melhorias salariais. Inconsistência das justificativas apresentadas pelo Presidente Luiz Inácio Lula da Silva para o arrocho salarial da classe. Protesto contra o contingenciamento de recursos destinados às Forças Armadas.
05/05/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=084.3.52.O&nuQuarto=6&nuOrador=2&nuInsercao=0&dtHorarioQuarto=08:15&sgFaseSessao=BC&Data=05/05/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Breves Comunicações&txTipoSessao=Extraordinária - CD&dtHoraQuarto=08:15&txEtapa=",BREVES COMUNICAÇÕES,8h15,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=17108&Datain=06/05/2005&txSuplemento=,084.3.52.O,"Críticas ao Governo Federal pela quebra do compromisso de concessão de reajuste nos vencimentos dos militares. Elogio ao Ministro da Defesa, José Alencar. Pedido ao Ministro para resolução da questão salarial dos militares. Apoio à sua candidatura ao cargo de Presidente da República."
28/04/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=077.3.52.O&nuQuarto=40&nuOrador=2&nuInsercao=0&dtHorarioQuarto=12:06&sgFaseSessao=HO&Data=28/04/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Homenagem&txTipoSessao=Solene - CD&dtHoraQuarto=12:06&txEtapa=",HOMENAGEM,12h06,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=15515&Datain=29/04/2005&txSuplemento=,077.3.52.O,Transcurso do Dia do Exército Brasileiro.
28/04/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=077.3.52.O&nuQuarto=31&nuOrador=2&nuInsercao=0&dtHorarioQuarto=11:39&sgFaseSessao=HO&Data=28/04/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Homenagem&txTipoSessao=Solene - CD&dtHoraQuarto=11:39&txEtapa=",HOMENAGEM,11h39,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=15512&Datain=29/04/2005&txSuplemento=,077.3.52.O,Reclamação contra a interrupção da transmissão pela TV Câmara da presente sessão solene em Homenagem ao Exército.
26/04/2005,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=075.3.52.O&nuQuarto=3&nuOrador=1&nuInsercao=0&dtHorarioQuarto=14:04&sgFaseSessao=PE&Data=26/04/2005&txApelido=JAIR BOLSONARO, PP-RJ&txFaseSessao=Pequeno Expediente&txTipoSessao=Ordinária - CD&dtHoraQuarto=14:04&txEtapa=",PEQUENO EXPEDIENTE,14h04,"JAIR BOLSONARO, PP-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=14509&Datain=27/04/2005&txSuplemento=,075.3.52.O,"Descumprimento, pelo Governo Federal, da promessa de concessão de reajuste nos soldos dos militares das Forças Armadas. Iniciativa de esposas de militares da realização de manifestação contra a inércia governamental. Anúncio da apresentação de requerimento de convocação do Ministro da Defesa e dos Comandantes das Forças Armadas para debate acerca do assunto no âmbito da Comissão de Relações Exteriores e de Defesa Nacional.
"
